name_of_space,address,hausprojekt,date_founded,co_housing,hackerspace_tech_meetup,tool_share,woodshop_metalshop_ceramic_studio,women_trans_queer_space_events,arts_space,guest_room,classes_workshops,free_store,coworking,volxkuchen,health_sport_services,agriculture,wagenplatz,child_friendly,silkscreen_studio,medienwerkstatt,sewing_workshop,film_video_collective_resources,kino,archive_reading_room,bike_workshop,cafe_bar,music_venue_parties,date_purchased_contract,website,video,stammtisch,immigrant_initiatives_events,community_youth_center,food_share_coop,barter_spende_free_economy,legal_services,infoshop,language_class,poster_text_distribution,soli_events_infrastructure,open_hours,flomarkt,offenes_plenum,cooperative_business,green_energy_infrastructure,metal_shop,photo_lab,ceramic_studio,photo_url,freiflache,created_at,updated_at,cartodb_georef_status,longitude,latitude,the_geom,cartodb_id,the_geom_webmercator,needs_moderation,printid
Galerie Olga Benario,"Richardstr. 104, 12043 Berlin",No,,No,No,No,No,No,Yes ,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,http://www.galerie-olga-benario.de/,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.44025,52.4777,0101000020E6100000C520B07268E12A404CA60A46253D4A40,97,0101000020110F0000E01840C961D43641A37C783B8D455A41,,78
Georg-von-Rauch-Haus,Mariannenplatz  Berlin Kreuzberg,Yes,1971 besetzte,No,No,No,No,No,No,Yes,yes,yes,No,"Yes, Mi 19:00, jeden 1. So im Monat 14:00-20:00 Flohmarkt mit Kaffee und Kuchen",Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,"Yes, jeden 2. Sa im Monat ",,http://www.rauchhaus1971.de/,Yes,No,No,Yes (youth focus),No,Yes,No,No,No,,"Yes, Soliparties",,"Yes, 1. So im Monat 14:00-20:00 Flohmarkt mit Kaffee und Kuchen",,,,,,, http://blogs.bl0rg.net/transfo/wp-content/uploads/2012/05/bethanien-potager-e1336406742961.jpg,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.42383,52.50234,0101000020E61000009B20EA3E00D92A407FBC57AD4C404A40,205,0101000020110F000073608BEB3DCD3641F68C8268F3495A41,,79
Gitschiner Str. 90,Gitschiner Str. 90  10969 Berlin Kreuzberg,Yes,Besetzt: 18.3.1981,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Legalisierung 08.11.1981,,,,,,,,,,,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.40158,52.49853,0101000020E61000009274CDE49BCD2A409609BFD4CF3F4A40,203,0101000020110F0000D691B90F91C33641446BEF3A45495A41,,80
Goebenstr. 8,Goebenstr. 8  Berlin Schöneberg 10783,Yes,Besetzt: 1.5.1981,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.36397,52.49364,0101000020E610000043739D465ABA2A40ACFF73982F3F4A40,17,0101000020110F0000683DDB5536B33641DB3075B365485A41,,81
Görlitzer Str. 37,Görlitzer Str. 37  10997 Berlin Kreuzberg,Yes,Besetzt: 24.3.1981,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,No,No,No,No,No,Yes,No,No,No,No,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.44354,52.49574,0101000020E610000089EFC4AC17E32A40D6A88768743F4A40,151,0101000020110F00003A72FA06D0D53641397B2DB1C5485A41,,82
Görlitzer Str. 39 (HH + Fabrikgeb.),Görlitzer Str. 39  10997 Berlin Kreuzberg,Yes,Besetzt: 16.5.1981,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,19.06.1983 Kauf des Hauses über Hausverein,,No,No,No,No,No,Yes,No,No,No,No,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.4431,52.49589,0101000020E610000017B7D100DEE22A40EC34D252793F4A40,134,0101000020110F0000B56BF30B9FD5364199FF7C8CCC485A41,,83
Gotenstr. 19,Gotenstr. 19  Berlin Schöneberg 10829,Yes,Besetzt: 15.4.1981,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,06.07.1982 Mietvertrag/Nutzungsvertrag BA Kreuzberg,,,,,,,,,,,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.3601,52.48097,0101000020E61000004694F6065FB82A40B62DCA6C903D4A40,13,0101000020110F0000A915698787B13641F748E8A622465A41,,84
Graefestr.73 / Dieffenbachstr. 27,Graefestr.73  10967 Berlin Kreuzberg,Yes ,Besetzt: 27.2.1981,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.41735,52.49216,0101000020E6100000A1F831E6AED52A401E335019FF3E4A40,55,0101000020110F0000FA17DE916CCA36411E858A0D22485A41,,85
Graefestr.73 / Dieffenbachstr. 27,Graefestr.73  10967 Berlin Kreuzberg,Yes,Besetzt: 27.2.1981,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,http://www.archivtiger.de/haeuser/br_EA_abgeraeumt/,,,,,,,,,,,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.41735,52.49216,0101000020E6100000A1F831E6AED52A401E335019FF3E4A40,57,0101000020110F0000FA17DE916CCA36411E858A0D22485A41,,86
Graefestr.73 / Dieffenbachstr. 27,Graefestr.73 10967 Berlin Kreuzberg,Yes,Besetzt: 27.2.1981,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,http://www.archivtiger.de/haeuser/br_EA_abgeraeumt/,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.4173,52.49242,0101000020E6100000D93D7958A8D52A40BBF2599E073F4A40,64,0101000020110F0000D662FA0067CA36415FEAD5EF2D485A41,,87
Groni 50,"Groningerstr. 50, Berlin Wedding 13347 ",Yes,Besetzt: 27.11.1980,No,No,No,No,No,No,No,No,No,No,"Yes, jeden 1., 3. + 5. Di im Monat 20:00 vegane Vokü ",No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,"Yes, http://www.dickesbee.org/",,,,,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.36165,52.55498,0101000020E6100000613255302AB92A4090F7AA9509474A40,38,0101000020110F0000D403FC1234B236419E102F725B535A41,,88
Groni50 (Wedding),"Groninger Str. 50, 13347 Berlin",Yes ,"Besetzt, 1980",Yes,No,No,No,No,No,No,No,No,No,"Yes, jeden 1. + 3. Di im Monat 20:00 vegan/veg. Vokü",No,No,No,No,Yes,No,No,No,"Yes, 1. + 3. Di 20:00",No,No,No,No,,http://groni50.org/,No,No,No,No,No,Ys,No,No,No,No,No,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.36165,52.55498,0101000020E6100000613255302AB92A4090F7AA9509474A40,98,0101000020110F0000D403FC1234B236419E102F725B535A41,,89
Grünberger Str. 73,Grünberger Str. 73 Berlin Friedrichshain,Yes,Besetzt: 1990,No,No,No,No,No,Yes ,No,No,No,No,No ,No,No,No,No,No,No,No,No,No,No,No,No,No," 1.1.2004 Gekauft,",http://gruenberger.so36.net/,No,No,No,No,No,No ,No,No,No,No,No,,No,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.45958,52.51145,0101000020E610000097CADB114EEB2A4005C58F3177414A40,169,0101000020110F0000AB308697C9DC3641CA253FF1934B5A41,,90
Haus der Jugend (Köpenick),"Seelenbinderstr. 54, 12555 Berlin",Yes ,,No,No,No,No,No,Yes ,No,Yes,No,Yes,"Yes, Mi 19 uhr, Do brunch 18 uhr ","Yes (Trail bike, slacklining)",Yes,No,Yes,"Yes, mi 17uhr",No,No,Yes,No,No,"Yes, Di, Do 17 uhr (mopeds too)",Yes,Yes,,http://www.cafe-hdjk.de/index.html,No,No,No,Yes,No,Yes,Yes,No,No,No,No,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.58288,52.45521,0101000020E610000026FC523F6F2A2B40F5673F52443A4A40,99,0101000020110F00004EB7FC486712374188AF77DF89415A41,,91
Haus Friedensbruch / Frauencafe,Jagowstr. 12  Berlin Moabit 13585,Yes,Besetzt: 12.2.198,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.333912,52.522277,0101000020E6100000E17B7F83F6AA2A40FC3905F9D9424A40,6,0101000020110F0000B5994B4B24A63641D80E4118834D5A41,,92
"
Hausprojekt Berlin-Rahnsdorf ","Püttbergeweg. 77
12589  Berlin",Yes,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Gekauft,http://www.hausprojekt-berlinrahnsdorf.net/,No,No,No,No,No,Yes,No,No,No,No,No,,No,No,No,No,No,No,No,http://www.wohnportal-berlin.de/sites/default/files/imagecache/project_full/konkretes-projekt/921/images/teaser/dsc05592-768x1024.jpg,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.70204,52.44156,0101000020E6100000BAF770C971672B40639CBF0985384A40,191,0101000020110F0000CCDD991D384637411FEE41961A3F5A41,,93
Hausprojekt PinkePanke,Koloniestraße 57 13357  Berlin,Yes,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Gekauft 2010,http://pinkepanke.net/index.php,No,No,No,No,No,Yes,No,No,No,No,No,,No,No,No,No,No,No,No,http://pinkepanke.net/images/blackwhite4.png,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.383749,52.564301,0101000020E6100000D3BEB9BF7AC42A40D00CE2033B484A40,192,0101000020110F0000F843A31FD0BB3641C52FCF2306555A41,,94
Hausprojekt Wönnichstr.103 ,Wönnichstr.103 Berlin 10317,Yes,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,http://www.woennich.de/,No,No,No,No,No,Yes,No,No,No,No,No,,No,No,No,No,No,No,No,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.4956,52.5016,0101000020E610000092CB7F48BFFD2A4039D6C56D34404A40,194,0101000020110F00004939E85173EC3641D1E6C393D1495A41,,95
Heile-Haus,Waldemarstr. 36  10999 Berlin Kreuzberg,Yes (nonresidential),Besetzt: 27.2.1981,No,No,No,No,Yes (men only too),No,Yes (bath),Yes,No,No,"Montag, Dienstag, Mittwoch u. Donnerstag 13:00 - 15.30 h",Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,,http://www.heilehaus-berlin.de/,No,Yes (health),Yes** (language),Yes,No,Yes,No,No,Yes,,,,,,,,,,,http://36grad.qm-zentrumkreuzberg.de/Bilder/stories/Ausgabe_01/fragmente_06.jpg,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.41917,52.50352,0101000020E6100000BBED42739DD62A40E370E65773404A40,53,0101000020110F00007F3ED82B37CB3641C532305B294A5A41,,96
Heimstr. 9 /9a,Heimstr. 9 /9a  10965 Berlin Kreuzberg,Yes,Besetzt: 22.1.1981,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.396685,52.48704,0101000020E6100000A5A0DB4B1ACB2A4003ECA353573E4A40,46,0101000020110F000086690B2770C13641BCD8670B38475A41,,97
Hexenhaus,Liegnitzer Str. 5  10999 Berlin Kreuzberg,Yes,Besetzt: 5.1.1981,Yes (?),No,No,Yes (for women),Yes,Yes ,Yes,No,No,Yes (residents),,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,1983 Gekauft,http://www.frauenwohnprojekte.de/index.php?id=6&no_cache=1&tx_p2fwp_pi1[showUid]=4,No,No,No,No,No,Yes,No,No,No,Yes,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.43598,52.49514,0101000020E6100000906B43C538DF2A4081785DBF603F4A40,67,0101000020110F00005948B07386D23641F1BDFE43AA485A41,,98
Infoladen Daneben,"Liebigstr. 34, 10247 Berlin",Yes ,1991,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,"Yes, (sound recording)",No,No,No,Yes,No,No,No,,http://www.nadir.org/nadir/initiativ/daneben/,No,No,No,No,No,Yes,No,Yes,No,No,No,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.45707,52.51804,0101000020E610000027F73B1405EA2A408A027D224F424A40,100,0101000020110F0000207A122EB2DB3641FB6C1C4FC14C5A41,,99
Info-Laden K36,Dresdnerstr. 16 Laden  10999 Berlin Kreuzberg,Yes,Besetzt: 21.4.1981,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,23.06.1982 legalisierung,,,,,,,,,Yes,,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.395832,52.503076,0101000020E6100000A96BED7DAACA2A4085B35BCB64404A40,58,0101000020110F000055156E3211C13641199F950E154A5A41,,100
Interkultureller Garten Berlin-Lichtenberg,"Liebenwalder Straße 12-18
13055 Berlin ",No,,No,No,No,No,No,No,No,No,No,No,No,No,"Yes, garden and beehives",No,Yes,No,No,No,No,No,No,No,No,No,,http://www.sozdia.de/Wir-ueber-uns.485.0.html,http://www.sozdia.de/Wir-ueber-uns.485.0.html,No,"Yes, international garden seeking international families",No,"Yes, honey and marmelade, Liebenwalder Str 12, 13055 Berlin, Tue + Wed > 10-17 clock
Thurs 12-17 clock (in the season to 19 clock)",Yes,No,No,No,No,No,,No,No,No,No,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.36688,52.55218,0101000020E6100000EB1C03B2D7BB2A40ADC090D5AD464A40,175,0101000020110F0000C79C6C467AB43641399B4449DB525A41,,101
Irving Zola Haus/Refugee Strike Haus,"Ohlauer Straße 12 
10999 Berlin",No,Besetzt 2012,No,No,No,No,No,No,No,No,No,No,"Yes, jeden 4. Donnerstag im Monat",No,No,No,No,No,No,No,No,"Yes, So, 20:00",No,No,No,Yes,,http://irvingzolahaus.blogsport.de/,No,Yes ,"Yes, Refugee house, jeden 4. Donnerstag im Monat, 20 Uhr INTERNATIONALISTISCHER ABEND",Yes,No,Yes,No,No,No,No,No,,No,No,No,No,No,No,No,https://linksunten.indymedia.org/de/system/files/images/3731248935.jpg,No,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.431368,52.496638,0101000020E6100000F5143944DCDC2A40B5F97FD5913F4A40,198,0101000020110F00002FFDE10B85D036415F01BABDEE485A41,,102
JUP,"Florastr. 84, 13187 Berlin",Yes (nonresidential),Besetzt 1990,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,,http://www.jup-ev.org/haus/neuigkeiten.html,No,No,No,Yes,No,Yes,No,No,No,No,No,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.40023,52.56585,0101000020E610000094C151F2EACC2A408638D6C56D484A40,101,0101000020110F00001578B5C7FAC236414E48ED0E4D555A41,,103
K19 Café,"Kreutzigerstr. 19, 10247 Berlin",Yes (?),Besetzt: 1990,No,No,No,No,No,No,No,No,No,No,"Yes, Mo 20:00 Weltküche, Do 20:00 
",No,No,No,No,No,No,No,No,No,No,No,Yes,No,Legalisiert 1991,No ,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.46013,52.51318,0101000020E610000024D1CB2896EB2A400B7BDAE1AF414A40,102,0101000020110F0000D1F84ED106DD3641F6F06D0DE34B5A41,,104
K9,"Kinzigstr. 9, 10245 Berlin",Yes ,,No,No,No,No,No,Yes ,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,,http://www.kinzig9.de/,No,Yes,No,No,No,No,No,No,No,No,"Yes, event room for rent for Soli events only",,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.465926,52.513751,0101000020E610000052B648DA8DEE2A40C6A4BF97C2414A40,103,0101000020110F00001E4C7F068CDF364178D4FE29FD4B5A41,,105
kanalB,"Reichenberger Str.121, 10999 Berlin",No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes (video),No,No,No,,http://kanalb.org/,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.43214,52.49521,0101000020E61000003E963E7441DD2A407A53910A633F4A40,104,0101000020110F0000D8262DFCDAD036413CCC2077AD485A41,,106
Kanzleramt Kulturbanausen e.V.,"Lohmühlenstrasse, 12435 Berlin",No (?),,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes (?),Yes (?),No,No,No,No,"Yes, Mi 21:00",No,No,Yes,No,,No ,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.44444,52.49297,0101000020E61000008811C2A38DE32A405EF415A4193F4A40,105,0101000020110F0000102EFD3634D636413F94841347485A41,,107
Karl-Marx-Str. 20 HH,Karl-Marx-Str. 20 HH  12043 Berlin Neukölln,Yes,Besetzt: 14.4.1981,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.44082,52.4733,0101000020E61000006FD8B628B3E12A4031992A18953C4A40,88,0101000020110F0000D28FFD3CA1D4364102232232C4445A41,,108
Kastanienallee 77 (Lichtblick Kino),Kastanienallee 77  Berlin Prenzlauer Berg,Yes,Besetzt: 20.6.1992,No,No,No,No,No,Yes ,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,legalisiert 1994,"http://www.k77.org/, http://www.lichtblick-kino.org/lichtblick.php",,,,,,,,,,,,,,,,,,,Yes,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.40781,52.53648,0101000020E6100000A9F6E978CCD02A40A27A6B60AB444A40,32,0101000020110F0000CF50F49446C63641B3DCC1D30C505A41,,109
Kastanienallee 85 (Kastanienkeller),Kastanienallee 85  Berlin Prenzlauer Berg,Yes,Besetzt: 1990,Yes,No,No,No,No,No,No,No,No,No,"Yes, Di: vegane Volxküche",No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,,http://morgenrot.blogsport.eu/,,Yes,,,,,,,,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.40892,52.53754,0101000020E6100000535C55F65DD12A405B25581CCE444A40,34,0101000020110F000081388025C2C636415B6096533D505A41,,110
Kinderbauernhof,"Leuschnerdamm 9 10999 Berlin
",Yes (nonresidential),Besetzt: 20.3.1981,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,,http://kbh-mauerplatz.de/index.php,Yes,No,No,Yes,No,No,No,No,,,,,,,,,,,,http://friedrichshainblog.de/wp-content/uploads/2012/06/kinderbauernhof-am-mauerplatz-berlin-kreuzberg.jpg,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.418814,52.505156,0101000020E6100000C136E2C96ED62A4068B0A9F3A8404A40,206,0101000020110F0000E9AFA18A0FCB36418DDF7C27744A5A41,,111
Kinderbauernhof Gorlitzer Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://upload.wikimedia.org/wikipedia/commons/d/db/Kinderbauernhof_goerlitzer_park_berlin.jpg,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.37698,52.51607,0101000020E6100000FE7DC68503C12A402E39EE940E424A40,172,0101000020110F00007383199ADEB836419998E336674C5A41,,112
Klamottentauschladen,Eisenbahnstrasse 42 Berlin 10997,No,,No,No,No,No,No,No,No,No,Yes,No,No ,No,No,No,No,No,No,No,No,No,No,No,No,No,,No ,No,No,No,No,No,Yes,No,No,No,No,No,,No,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.43201,52.50199,0101000020E610000005172B6A30DD2A40A375543541404A40,221,0101000020110F00005EB67683CCD03641AC903168E3495A41,,113
Klamottentauschladen,Market Hall 9 Eisenbahnstrasse 42 10997 Berlin,No,,No,No,No,No,No,No,No,No,Yes,No,No ,No,No,No,No,No,No,No,No,No,No,No,No,No,,http://ktl.blogger.de/,"Yes, http://ktl.blogger.de/topics/Bilder/",No,No,No,No,Yes,No,No,No,No,No,,No,No,,No,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.432171,52.501968,0101000020E61000002A8F6E8445DD2A40BBD1C77C40404A40,180,0101000020110F00003D9C9B6FDED036411443B666E2495A41,,114
Knobelsdorffstr. 46,"Knobelsdorffstr. 46, 14059 Berlin Charlottenburg",Yes,Besetzt: 8.3.1981,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No ,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.28977,52.51327,0101000020E61000004EB9C2BB5C942A404B02D4D4B2414A40,184,0101000020110F00005D69DD6DF29236414275082BE74B5A41,,115
Kohlfurterstr. 40,Kohlfurterstr. 40  10999 Berlin Kreuzberg,Yes,Besetzt: 26.1.1981,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.41794,52.4967,0101000020E610000067614F3BFCD52A402BF697DD933F4A40,69,0101000020110F0000C53D903FAECA36413AE14493F1485A41,,116
Köpi,Köpenicker Straße 137  Berlin Mitte,Yes,Besetzt 1990,No,No,No,No,No,No,no**,No,No**,No,Yes **,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Legalisiert 1991,http://koepi137.net/,Yes ,No,No,No,No,Yes,No,Yes,,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.42631,52.50799,0101000020E610000060EAE74D45DA2A40F758FAD005414A40,54,0101000020110F0000B41010FE51CE3641C3D045BBF54A5A41,,117
Kreutzigerstr. 22,Kreutzigerstr. 22  Berlin Friedrichshain,Yes,Besetzt: 1990,No,No,No,No,No,No,No,No,No,No,No ,No,No,No,No,No,No,No,No,No,No,No,No,No,,No ,No,No,No,No,No,No ,No,No,No,No,No,,No,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.46046,52.51357,0101000020E6100000793BC269C1EB2A40761A69A9BC414A40,168,0101000020110F0000A93D948D2BDD3641F2800FE3F44B5A41,,118
KuBiZ / trägerwerk e.V.,Bernkasteler Straße 78 | 13088 Berlin,Yes,,Yes(?),No,No,"Yes, Wood shop, Sa: 14.00 – 17.00 Uhr (women, trangender), 1. Montag im Monat 16.00 – 18.00 Uhr, für alle, 1. Mittwoch im Monat 17.00 – 19.00 Uhr: für alle","Yes, Samstags 14.00 – 17.00 Uhr: FrauenLesbenTrans woodshop","Yes, theater, open (multipurpose) space",Yes,Yes,"Yes, Donnerstags, 16 – 19 Uhr",No,No ,No,"Yes, open/active garden",No,Yes,No,"Yes, (Avid, 4 PC computer labs with Adobe, Gimp, Pinnacle Studio Ultimate HD, Lightworks, video equipment, animation trickbox, beamer, scanner, printer, internet)",No,"Yes, Medienwerkstatt with video recording/editing equipment",No,"Yes, student newspapers and video archive",No,No,No,,http://www.kubiz-wallenberg.de/,No,No,No,No,No,Yes,No,No,No,No,"Yes, open space available for all ",,"Yes, seasonally","Yes, for holzwerkstatt: Jeden 1. Mittwoch im Monat um 19.00",,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.46993,52.55704,0101000020E61000008DD13AAA9AF02A402C4833164D474A40,220,0101000020110F0000E4A0A5BF49E13641763E82BDB9535A41,,119
KuLe,Auguststr.10  Berlin Mitte,Yes,Besetzt: 1990,No,No,No,No,No,Yes ,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,http://www.kuletheater.de/,,,,,,,,,,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.39414,52.52642,0101000020E61000004417D4B7CCC92A40ECFA05BB61434A40,26,0101000020110F0000FD802BD854C03641EE8E6B99404E5A41,,120
Kunste-Stoffe (Branch Pankow),"Berliner Str. 17, 13189 Berlin",No,,No,No,"Yes, cargo bike rental, EUR 3.00/per hour, EUR 12.00/per day, EUR 20.00/per weekend (Friday 5 pm until Monday 10.30 am), DEPOSIT: EUR 80.00","Yes, woodworking, metalworking (.75 euro/hr without machines, 2euro/hour w machines, 3.50 euro p/hr with machines and guidance)",No,"Yes, gallery, arists in residence program",No,"Yes, upcycling art classes",Yes,No,No ,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,,http://www.kunst-stoffe-berlin.de/,No,No,No,No,No,Yes ,No,No,No,No,No,"Wednesday 2pm-6pm, Friday 11am-6pm, every last Sunday of the month 3pm-7pm",No,No,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.41198,52.56563,0101000020E61000005036E50AEFD22A4078D1579066484A40,222,0101000020110F000027B7BCC816C83641D06D5EFC42555A41,,121
Kunste-Stoffe (Branch Tempelhof),See Website,No,,No,No,"Yes, cargo bike rental, EUR 3.00/per hour, EUR 12.00/per day, EUR 20.00/per weekend (Friday 5 pm until Monday 10.30 am), DEPOSIT: EUR 80.00","Yes, Woodowrking, metalworking (.75 euro/hr without machines, 2euro/hour w machines, 3.50 europ/hr with machines and guidance)",No,"Yes, gallery, arists in residence program",No,"Yes, upcycling art classes",Yes,No,No ,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,,http://www.kunst-stoffe-berlin.de/index.php?option=com_content&view=article&id=254&Itemid=44&lang=en,No,No,No,No,No,Yes,No,No,No,No,No,montags von 15 bis 19 Uhr,No,No,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,,25.941715,-33.70281,0101000020E61000001327F73B14F13940A0A696ADF5D940C0,178,0101000020110F0000C17C8640450846416CEE8111F36E4EC1,,122
